,회사명,공고명,경력,학력,계약유형,지역,채용기간
0,㈜세종교육,"[IT취업률100프로]개발자 채용연계(국내/일본, 수도권무료숙식 제공/비전공자 가능) 국비무료교육 취업준비생 선착순 모집",신입·경력,학력무관,연수생/교육생,경기 성남시 외,D-11
1,㈜하이미디어아카데미,[전액무료IT개발자취업생모집]JAVA개발자/풀스택개발자/AI서비스개발자,신입·경력,학력무관,연수생/교육생,강원,D-16
2,휴먼교육센터,[전액무료 IT취업] 파이썬/데이터분석/인공지능/풀스택(무료숙식제공),신입·경력,학력무관,연수생/교육생,서울 영등포구 외,D-5
3,한국ICT인재개발원,[국비무료IT취업교육]JAVA웹앱/프론트엔드/백엔드/풀스택/빅데이터/인공지능 외 자바개발자취업교육과정/준비된 인재로 취업하기/SW융복합 인재양성 /수료전부터 취업연계매칭시스템,신입·경력,고졸↑,연수생/교육생,서울,오늘마감
4,㈔한국산업기술협회,[국비무료/채용연계] 빅데이터 응용 JAVA프로그래밍 개발자 양성과정,신입·경력,학력무관,연수생/교육생,서울 금천구,D-3
5,㈜에듀클라우드,2024 하반기 공개채용(웹 디자이너&퍼블리셔/Back-end 개발자(JAVA)/콘텐츠 개발부/FC 사업본부/경영지원/비서/직영 영어학원 원장/강사),신입·경력,학력무관,정규직,서울 강서구 외,D-10
6,중고나라,[중고나라] 백엔드(JAVA)개발자 (상품/결제/배송) (경력 7년 이상),경력7년↑,대졸↑,정규직,서울 서초구,D-28
7,(주)이컴라인,"2.[인덕원] 자바, JAVA, 은행, 금융, 뱅킹업업무, 뱅킹상시전담반, 중급",경력6년↑,초대졸↑,프리랜서,경기 안양시,D-28
8,이컴라인,"8.[뚝섬역] 재고관리, 자바, java, 프론트앤드, 고급",경력10년↑,초대졸↑,프리랜서,서울 성동구,D-28
9,이컴라인,"8.[뚝섬역] 자바, java, 재고관리, 백앤드, spring, 고급",경력10년↑,초대졸↑,프리랜서,서울 성동구,D-28
10,㈜넥슨,[인텔리전스랩스] 빌링 서비스 백엔드 개발자 (Java/C#),경력5년↑,학력무관,정규직,경기 성남시,상시채용
11,이컴라인,"1.[여의도] 자바, JAVA, 증권, 금융, 퇴직연금, 고급",경력10년↑,초대졸↑,프리랜서,서울 영등포구,D-22
12,㈜이컴라인,"6.[여의도] JAVA, Vue.js, React, Spring, HTML, JSP, JavaScript,  jquery, JSON, WEB/WAS 이해, 금융, 증권, 채널, 프로트앤드, 백앤드, Front-end/Back-end 경험자 (Front-end 위주 개발), 초급, 중급, 초상, 자바, 리액트, 스프링, 자바사크립트, 뷰",경력3년↑,초대졸↑,프리랜서,서울 영등포구,D-21
13,㈜이컴라인,"6.[염창동] 금융, 증권, 자바, java, 은행, 중급",경력6년↑,초대졸↑,프리랜서,서울 강서구,D-18
14,(주)이컴라인,"2.[염창동]펀드, 자바, java, 은행, 금융, 고급",경력10년↑,초대졸↑,프리랜서,서울 강서구,D-18
15,(주)이컴라인,"2.[수지] 자바, java, 카드, 금융, 백앤드, 중급, 고급",경력6년↑,초대졸↑,프리랜서,경기 용인시,D-18
16,이컴라인,"9.[여의도] 보험, 금융, 퇴직연금,  JAVA, spring, WebSquare, OZ Report, 웹스퀘어, 자바, 스프링, 전자정부f/w, 전자정부프레임웍, 전자정부프레임워크, 운영, 유지보수, sm, 중급, 고급",경력10년↑,학력무관,프리랜서,서울 영등포구,D-16
17,이컴라인,"1.[여의도] 자바, 증권, 금융, java, 정보계, 고급",경력6년↑,초대졸↑,프리랜서,서울 영등포구,D-15
18,하나금융티아이,[은행] 아키텍처관리시스템 운영 (Java 개발자),신입,대졸↑,정규직,인천 서구,D-3
19,이컴라인,"8.[여의도] JAVA, SPRING, Devops, 보험, 금융, 운영, 유지보수, QA, 자바, 전자정부F/W, 전산관련 학과 졸업 or 전산 경력자 영어 가능한 분(메일 및 문서 독해 수준) 중급",경력6년↑,초대졸↑,프리랜서,서울 영등포구,D-1
20,㈜넥슨,[인텔리전스랩스] 인증/세션 서비스 백엔드 개발자 (Java),경력8년↑,학력무관,정규직,경기 성남시,상시채용
21,㈜핑거,[핑거] 핀테크를 위한 특별한 Java 개발자를 모십니다. (정규직),경력5년↑,초대졸↑,정규직,서울 영등포구,D-29
22,㈜동화세상에듀코,Classic-ASP기반 기존 시스템을 Java기반 컨버팅 개발 업무(홈페이지 및 관리시스템),경력3년↑,학력무관,계약직 외,서울 동대문구,D-29
23,㈜포이시스,"[본사/대구/부산] Java / Python 활용 / 금융솔루션 개발자 채용 공고(경력, 신입)",신입·경력,초대졸↑,정규직 외,서울 금천구,상시채용
24,펜타시스템테크놀러지㈜,Java 개발자 인턴 채용(정규직 전환),신입,대졸↑,인턴,서울 영등포구,D-4
25,㈜아이비에스,[청주] 웹(JAVA) 개발자,경력2년↑,초대졸↑,정규직,충북 청주시 외,D-25
26,에이치엔씨네트워크,"[RPA, JAVA] 카드사 개발 및 운영업무",경력5년↑,초대졸↑,위촉직/개인사업자,서울 중구,D-8
27,크림(주),Kotlin/Java 개발자 모집 (인재 Pool),경력,정규직,경기 성남시,상시채용,
28,㈜솔로몬엠,[솔로몬엠] 모빌리티 플랫폼 운영 중급 개발자(JAVA)  모집,경력3년↑,학력무관,정규직,서울 금천구,D-21
29,㈜포이시스,[부산] 금융 운영 업무 자바 웹개발자 채용 공고(경력),경력5년↑,초대졸↑,정규직 외,부산 남구,D-48
30,㈜넥슨,[인텔리전스랩스] 글로벌 플랫폼 백엔드 개발자 (Java),경력5년↑,학력무관,정규직,경기 성남시,상시채용
31,유니닥스㈜,[유니닥스] JAVA 및 웹 개발자 채용,경력무관,학력무관,정규직,서울 구로구 외,D-14
32,경동물류,경동(R&D) 웹개발 자바 Java Jsp 개발자 경력모집 (3-6년차),경력3년↑,초대졸↑,정규직,경기 김포시,D-14
33,㈜우대칼스,JAVA 기반 웹 서비스 개발 및 유지보수 (경력),경력2년↑,초대졸↑,정규직,서울 서초구,D-14
34,레몬헬스케어,[레몬헬스케어] 자바 백엔드 개발자 모집,경력3년↑,학력무관,정규직,서울 금천구,D-11
35,㈜웅진,JAVA기반 웹솔루션 개발 경력직 채용,경력5년↑,학력무관,정규직,서울 중구,D-8
36,㈜지오소프트,지오소프트에서 능력있는 Java 서버 개발자를 모집합니다.,경력3년↑,초대졸↑,정규직 외,경기 성남시,D-9
37,모비젠,주)모비젠 세종시 JAVA 웹 개발 PL 모집,경력10년↑,대졸↑,정규직,세종 전지역,D-3
38,㈜아이비에스,[대전/청주/이천] 웹(JAVA) 개발자를 모집합니다.,경력무관,초대졸↑,정규직,대전 유성구,D-5
39,㈜휴넷,[휴넷] 기업교육 플랫폼 Java 백엔드 개발 [정규직/경력],경력2년↑,학력무관,정규직,서울 구로구,D-8
40,㈜유니포인트,"[유니포인트] JAVA 개발자, 미들웨어 및 8BPM 기술엔지니어 채용 공고",경력5년↑,학력무관,정규직,서울 동작구,상시채용
41,㈜비즈테크아이,[LG CNS 자회사] JAVA 기반 프로젝트 PM·PL/분석설계/개발자 경력 채용,경력3년↑,대졸↑,정규직 외,서울 마포구 외,D-3
42,㈜핸디소프트,클라우드개발/제품개발/JAVA/React 개발 경력 채용,경력4년↑,초대졸↑,정규직,경기 안양시,D-37
43,㈜핸디소프트,[소프트웨어개발] JAVA 웹 개발자 모집,경력5년↑,대졸↑,정규직,경기 안양시,D-37
44,㈜웅진,[경력] JAVA 기반 인사관리 솔루션 개발,경력9년↑,학력무관,정규직,서울 중구,D-1
45,㈜와이비에스,[YBS] 서버 백엔드 및 JAVA 경력직   개발자  채용 공고,경력5년↑,초대졸↑,정규직,경기 성남시,D-27
46,뱅크웨어글로벌㈜,[뱅크웨어글로벌] 금융SW엔지니어(JAVA) 여신/수신 업무 개발,경력8년↑,학력무관,정규직,서울 중구,D-3
47,㈜이지서티,[정규직] (주)이지서티 개발자 채용 ( C / C++ / C#/JAVA ),경력1년↑,대졸↑,정규직,서울 강남구,D-22
48,㈜인스웨이브시스템즈,"[코스닥상장사] JAVA/웹개발, SI/SM BackEnd 개발자 채용(정규직/계약직)",경력7년↑,대졸↑,정규직 외,서울 영등포구,D-19
49,㈜세일코리아넷,"[정규직] 웹개발자(PHP, JAVA) 경력직 모집(1년이상 경력자)",경력3년↑,초대졸↑,정규직,서울 영등포구,D-16
50,㈜인라이플,[주4.5일근무] Backend Developer (JAVA) 채용,경력5년↑,학력무관,정규직,서울 구로구 외,상시채용
51,㈜이지서티,[정규직/경력우대] Java 개발자(개인정보보호 보안 소프트웨어) 채용,경력,대졸↑,정규직,서울 강남구,D-9
52,㈜비상교육,AIDT 백엔드개발(Java),경력3년↑,학력무관,정규직,경기 과천시,D-6
53,㈜천재교육,[천재교육] IT교육센터 JAVA 풀스택 강사 모집,경력무관,석사↑,계약직 외,서울 금천구,D-16
54,㈜웅진,[경력] JAVA기반 웹솔루션 개발 경력직 채용,경력5년↑,학력무관,정규직,서울 중구,D-33
55,㈜비즈테크아이,[LG CNS 자회사] 솔루션 엔지니어(풀스택 JAVA) 경력 채용,경력4년↑,대졸↑,정규직 외,서울 마포구 외,D-8
56,㈜비즈테크아이,"[LG CNS 자회사] ERP, SCM 분석설계 및 JAVA 개발 경력 채용",경력3년↑,대졸↑,정규직 외,서울 마포구 외,D-3
57,㈜웅진,[경력] JAVA기반 인사관리 솔루션 개발,경력9년↑,학력무관,정규직,서울 중구,상시채용
58,㈜픽소니어,"응용SW 개발자(C++, JAVA)",신입·경력3년↑,대졸↑,정규직,대전 유성구,D-1
59,㈜캐럿글로벌,웹개발자(PHP/JAVA/프론트) 경력 (강남),경력2년↑,초대졸↑,정규직,서울 서초구,D-27
60,㈜고려진단,"(오창) LG엔솔, Java, React, 초.중.고급, 체재비지원",경력3년↑,학력무관,프리랜서,충북 청주시 외,D-30
61,㈜쥬비스다이어트,시스템개발팀 JAVA 시스템 개발 유지보수 경력 채용,경력5년↑,학력무관,정규직,서울 강남구,D-29
62,푸른IT,천안 S대기업 생산 프로젝트 ( 자바개발자 ) 중급 4명 고급 2명,경력6년↑,초대졸↑,프리랜서,충남 아산시,D-9
63,낙스넷㈜,중급 자바개발자 모집 - 창원시 L대기업 전산실 수년간 장기 근무,경력6년↑,초대졸↑,프리랜서,경남 창원시,D-6
64,낙스넷㈜,초급 자바개발자 모집 - 창원시 L대기업 전산실 수년간 장기 근무,경력3년↑,초대졸↑,프리랜서,경남 창원시,D-6
65,㈜제이투이,[JAVA SM 을지로] 면세점 온라인 서비스 클라우드 인프라 운영 업무 JAVA개발 장기근무 을지로.........(1),경력6년↑,초대졸↑,계약직 외,서울 중구,D-4
66,㈜아이티사람들,"[ 초긴급,,,,,  JAVA개발자,(MES업무경험자 필수) -  안산 ]",경력5년↑,초대졸↑,계약직,경기 안산시,D-3
67,인텍솔루션㈜,"(광화문) 생명사 보전업무 운영) Pro-C, Java 중/고급 유지보수 모집",경력2년↑,학력무관,계약직 외,서울 종로구 외,D-2
68,㈜케이제이프로퍼티,[경력] JAVA 개발자 채용,경력5년↑,초대졸↑,정규직 외,서울 서초구 외,D-25
69,㈜키트넷,Java 및 생명보험 경험 운영 50명 모집,경력3년↑,학력무관,프리랜서,서울 영등포구,D-2
70,㈜엔시스템,Java 고급 개발자 [대전 한전 MES 프로젝트],경력7년↑,초대졸↑,프리랜서,대전 유성구,D-25
71,㈜비투넷,[SI-여의도-중급.고급] Java. React (필수)/ 채용시스템 구축/ 즉시부터-12월까지,경력6년↑,초대졸↑,프리랜서,서울 금천구 외,D-1
72,이컴라인,"12.[공덕역] 증권 금융, JAVA, Spring, Rest API, jquery, ELK Stack, 자바, 전자정부F/W, 중급",경력6년↑,초대졸↑,프리랜서,서울 마포구,D-24
73,㈜엔클랩,"000 MaaS 구축 프로젝트 (공공 프로젝트 /  java,  spring, 전자정부 / 설계, 분석 / 고급 )",경력10년↑,초대졸↑,계약직 외,서울 서초구,D-24
74,인텍솔루션㈜,"(을지로3가) 보험 퇴직연금 운영) Java, Websquare, Java-Script 중급/ 고급(하) 유지보수 모집",경력6년↑,학력무관,계약직 외,서울 중구 외,D-2
75,㈜HYSOFT,"Java,더존ERP경험우대(9월중순/25년6월말/여의도/고급) 프로그래머를 모십니다.",경력9년↑,초대졸↑,계약직 외,서울 구로구 외,D-2
76,푸른IT,천안 S대기업 생산 프로젝트 Vue.js 공통모듈 ( 자바개발자 ) 9월초부터 5개월,경력9년↑,초대졸↑,프리랜서,충남 아산시,D-7
77,한국유투더블유㈜,"[영등포, 중급] JAVA, SPRING, SM, 운영 개발자 채용",경력,학력무관,정규직 외,서울 영등포구,D-23
78,㈜HYSOFT,"React,Java ,MES경험(9월2일/25년3월14일/서울역(단기부산출장있음)/고급) 프로그래머를 모십니다.",경력9년↑,초대졸↑,계약직 외,서울 구로구 외,D-1
79,커리어넷,[ (주)레드소프트 ] JAVA 솔루션 웹개발 운영(SM) 경력 팀장 모집 (파견X),경력7년↑,대졸↑,계약직,서울 구로구,D-21
80,㈜상아매니지먼트컨설팅,[정규직] [JAVA/WEB] SI 신입&경력 인재를 모집합니다.,신입·경력3년↑,대졸↑,정규직 외,서울 강남구 외,D-2
81,㈜하이브랩,[하이브랩] Back-end (Java개발자) 경력직 채용 (7년 이상),경력7년↑,초대졸↑,정규직,경기 성남시,D-21
82,이컴라인,"12.[여의도] 자바, java, jsp, 증권, 금융, 고급",경력10년↑,초대졸↑,프리랜서,서울 영등포구,D-21
83,㈜엔시스템,Java 퇴직연금 경력 고급 개발자 (9월초 투입) [KB국민은행 프로젝트 - 서울 여의도],경력7년↑,초대졸↑,프리랜서,서울 영등포구,D-18
84,㈜영림원소프트랩,(주)영림원소프트랩 Java 개발자 모집,경력3년↑,대졸↑,정규직,서울 강서구,D-3
85,㈜YH데이타베이스,웹 개발자(Spring/Java) 및 앱 개발자(iOS&Android) 채용,경력무관,초대졸↑,정규직,대구 수성구,D-16
86,㈜비투넷,"[SI-마곡] Data 인터페이스 및 오라클 DB개발 (필수:Java, BizActor, PL/SQL)/ 즉시부터-11월까지",경력6년↑,초대졸↑,프리랜서,서울 금천구 외,D-1
87,㈜유진인포텍,[애오개역] JAVA PG백오피스 유경험 개발자 고급1명 구인 (즉시 - 11개월),경력6년↑,학력무관,계약직 외,서울 관악구,D-15
88,㈜스타일셀러,[스타일셀러] PHP/JAVA개발자 모집,경력5년↑,학력무관,정규직,서울 서초구,D-10
89,리드피플㈜,긴급 / 은행프로젝트 / JAVA / React.JS  다수 경험 필수 (또는 1년이상 경험) / 남대문 / 고급 1명 / 8월 중순 - 6개월이상 / 상세내용 참고,경력10년↑,대졸↑,계약직 외,서울 중구,D-10
90,이컴라인,"12.[여의도] 금융, 증권, 자바, java, 정보계, 고급",경력10년↑,초대졸↑,프리랜서,서울 영등포구,D-10
91,㈜위브릭스,[부산/경력] 함께 발전해나갈 웹 개발자(JAVA)분을 만나 뵙고 싶습니다.,경력5년↑,학력무관,정규직,부산 연제구,D-9
92,비에스파트너즈,[부산/경력] JAVA개발자 모집공고,경력5년↑,학력무관,정규직,부산 연제구,D-9
93,㈜지에프씨코리아,[신입-공공기관]  웹 개발  (java),경력무관,학력무관,계약직 외,서울 금천구,D-7
94,아크로노드,웹 개발(JAVA) 부문 담당자 채용,경력3년↑,초대졸↑,정규직,서울 금천구,D-37
95,혁산정보시스템,JAVA개발부문 경력자 채용,경력3년↑,초대졸↑,정규직,서울 영등포구,D-3
96,애니로직,"[(주)애니로직] (경력3년이상,15년이하) 웹 개발자 - JAVA/SPRING",경력3년↑,초대졸↑,정규직 외,서울 금천구,D-30
97,㈜씨아이엔텍,웹디자인 부문 /  Java개발 부문/ 영업 및 마케팅 부문  (상시채용),경력무관,초대졸↑,정규직,서울 강동구,D-26
98,㈜고고에프앤디,[고고에프앤디] [서울] 백앤드 JAVA 개발자를 찾습니다.(경력),경력1년↑,학력무관,정규직,서울 마포구,D-25
99,건솔루션㈜,[경북-대구시] JAVA 웹개발자 -정규직 사원 모집 (스마트팩토리 & 경력 12년이상 우대),경력12년↑,초대졸↑,정규직,대구 달서구,D-23
